drug_name,context,expected_content_keywords,forbidden_keywords,reviewed_by
암로디핀 5mg,본태성 고혈압 50대 환자,혈압|칼슘채널차단제|부종|매일|의사 또는 약사,진단|처방|용량을 조절,
리시노프릴 10mg,고혈압 환자 신기능 정상,ACE 억제제|마른기침|고칼륨혈증|혈관부종|의사,진단|약을 중단하세요,
텔미사르탄 40mg,2형 당뇨 병발 고혈압,ARB|혈압|칼륨|임부 금기|의사 또는 약사,진단|처방,
로살탄 50mg,고혈압 단독요법,ARB|혈압|어지럼증|임부 금기|의사,진단|약을 변경,
발사르탄 80mg,심부전 동반 고혈압,ARB|혈압|신기능|칼륨|의사 또는 약사,진단|처방,
히드로클로로티아지드 25mg,이뇨제 병용,이뇨|저칼륨|탈수|광과민|의사,진단|용량을 조절,
카르베딜롤 12.5mg,만성 심부전 고혈압,베타차단제|서맥|천식 주의|의사 또는 약사,진단|처방,
메토프롤롤 50mg,협심증 동반 고혈압,베타차단제|맥박|갑작스런 중단 금지|의사,진단|처방,
메트포르민 500mg,2형 당뇨 기본요법 · 신장기능 정상,복용|식후|저혈당|젖산산증|조영제,진단|처방|용량을 조절,
글리메피리드 2mg,2형 당뇨 병용요법,설포닐우레아|저혈당|식전|의사 또는 약사,진단|처방,
시타글립틴 100mg,DPP-4 억제제 단독,DPP-4|혈당|신기능|의사 또는 약사,진단|처방,
엠파글리플로진 10mg,2형 당뇨 · 심혈관 보호,SGLT2|탈수|요로감염|의사,진단|처방,
글리클라지드 30mg,서방형 설포닐우레아,저혈당|식사|의사 또는 약사,진단|처방,
피오글리타존 15mg,인슐린 저항성 개선,TZD|부종|체중 증가|의사,진단|처방,
인슐린 글라진,1형 당뇨 기초 인슐린,피하주사|저혈당|보관 냉장|의사 또는 약사,진단|처방,
리라글루티드,2형 당뇨 · 체중 관리,GLP-1|구역|주사|의사 또는 약사,진단|처방,
아세트아미노펜 500mg,감기 증상 성인,해열|진통|간|4000mg|의사 또는 약사,진단|처방,
이부프로펜 400mg,생리통·근육통,NSAID|위장관|신장|식후|의사,진단|처방,
나프록센 250mg,염좌·관절염,NSAID|위장관|심혈관|의사 또는 약사,진단|처방,
세레콕시브 200mg,관절염 장기 복용,COX-2|심혈관|위장관|의사 또는 약사,진단|처방,
트라마돌 50mg,중등도 만성 통증,진통|졸음|의존성|의사 또는 약사,진단|처방,
코데인 인산염,기침 · 경증 통증,호흡억제|의존성|12세 미만 금기|의사,진단|처방,
아목시실린 500mg,세균성 상기도 감염,페니실린|알레르기|완료 복용|의사 또는 약사,진단|처방,
아지트로마이신 500mg,세균성 호흡기 감염,마크로라이드|QT 연장|의사 또는 약사,진단|처방,
세프트리악손,세균성 감염 입원 치료,세팔로스포린|알레르기|의사 또는 약사,진단|처방,
레보플록사신 500mg,복잡성 요로감염,퀴놀론|건염|광과민|의사 또는 약사,진단|처방,
독시사이클린 100mg,여드름·리케치아 감염,테트라사이클린|광과민|치아 착색|의사,진단|처방,
반코마이신,MRSA 감염 입원 치료,정맥주사|신독성|red man|의사 또는 약사,진단|처방,
플루옥세틴 20mg,주요우울장애,SSRI|세로토닌|MAO 금기|의사 또는 약사,진단|처방,
세르트랄린 50mg,우울·공황장애,SSRI|구역|수면|의사 또는 약사,진단|처방,
리스페리돈 1mg,조현병·양극성,항정신병|EPS|체중 증가|의사 또는 약사,진단|처방,
디아제팜 5mg,급성 불안 단기,벤조디아제핀|의존성|운전 주의|의사 또는 약사,진단|처방,
졸피뎀 10mg,일시적 불면증,진정제|단기 복용|의존성|의사 또는 약사,진단|처방,
오메프라졸 20mg,위산역류·위궤양,PPI|식전|장기 복용|의사 또는 약사,진단|처방,
판토프라졸 40mg,위식도역류 장기 관리,PPI|저마그네슘|골절|의사 또는 약사,진단|처방,
수크랄페이트 1g,위궤양 보호,점막 보호|공복|의사 또는 약사,진단|처방,
라니티딘 150mg,위염 단기 치료,H2 차단제|의사 또는 약사,진단|처방,
돔페리돈 10mg,소화불량·오심,위장관 운동|QT|의사 또는 약사,진단|처방,
살부타몰 흡입제,급성 천식발작,SABA|심계항진|의사 또는 약사,진단|처방,
몬테루카스트 10mg,천식 예방 · 알레르기 비염,류코트리엔|신경정신|의사 또는 약사,진단|처방,
부데소니드 흡입제,만성 천식 유지,ICS|가글|의사 또는 약사,진단|처방,
세티리진 10mg,알레르기 비염 · 두드러기,항히스타민|졸음|의사 또는 약사,진단|처방,
아토르바스타틴 20mg,이상지질혈증 1차,스타틴|간수치|근육통|의사 또는 약사,진단|처방,
로수바스타틴 10mg,이상지질혈증 · 심혈관 예방,스타틴|근병증|의사 또는 약사,진단|처방,
클로피도그렐 75mg,관상동맥스텐트 후,항혈소판|출혈|의사 또는 약사,진단|처방,
아스피린 100mg,심혈관 2차 예방,저용량|항혈소판|출혈|의사 또는 약사,진단|처방,
와파린 2.5mg,심방세동 항응고,INR|음식 상호작용|비타민K|의사 또는 약사,진단|처방,
파라세타몰 시럽,영유아 해열,체중|횟수|의사 또는 약사,진단|처방,
아목시실린 현탁액,소아 세균성 중이염,체중|완료 복용|의사 또는 약사,진단|처방,
디메티콘 시럽,영아 영아산통,복부 가스|의사 또는 약사,진단|처방,
