symptom,current_medications,expected_linked_drugs,reason,reviewed_by
어지럼증,"암로디핀,리시노프릴,아토르바스타틴","암로디핀,리시노프릴","혈압약 기립성 저혈압 가능성",
어지럼증,"디아제팜,오메프라졸","디아제팜","벤조디아제핀 진정 효과",
마른기침,"리시노프릴,메트포르민,오메프라졸","리시노프릴","ACE 억제제 부작용 (10-20%)",
마른기침,"에날라프릴,아스피린","에날라프릴","ACE 억제제 대표 부작용",
변비,"아미트립틸린,암로디핀,칼슘제","아미트립틸린,칼슘제","항콜린 효과 + 칼슘",
변비,"트라마돌,철분제","트라마돌,철분제","오피오이드 + 철분 변비 유발",
근육통,"아토르바스타틴,리시노프릴","아토르바스타틴","스타틴 근병증 (0.1-0.5%)",
근육통,"로수바스타틴,메트포르민","로수바스타틴","스타틴 근육통",
구역,"메트포르민,오메프라졸,파라세타몰","메트포르민","소화기 부작용 (투여 초기 20-30%)",
구역,"아목시실린,플루옥세틴","아목시실린,플루옥세틴","항생제·SSRI 초기 구역",
두통,"이소소르비드,실데나필","이소소르비드,실데나필","혈관 확장 작용 두통",
두통,"니페디핀,카페인","니페디핀","칼슘채널차단제 두통",
가려움,"아목시실린,아스피린","아목시실린","페니실린 알레르기 피부 반응",
가려움,"암로디핀,리시노프릴","리시노프릴","ACE 억제제 혈관부종 초기 징후 가능",
부종,"암로디핀,니페디핀","암로디핀,니페디핀","DHP CCB 말초 부종",
부종,"피오글리타존,메트포르민","피오글리타존","TZD 수분저류",
졸음,"세티리진,디아제팜,트라마돌","세티리진,디아제팜,트라마돌","항히스타민·벤조·오피오이드 진정",
졸음,"디펜히드라민,아미트립틸린","디펜히드라민,아미트립틸린","1세대 항히스타민·TCA 진정",
저혈당,"글리메피리드,인슐린,메트포르민","글리메피리드,인슐린","설포닐우레아·인슐린",
저혈당,"글리클라지드,시타글립틴","글리클라지드","설포닐우레아 유발",
속쓰림,"이부프로펜,나프록센,아세트아미노펜","이부프로펜,나프록센","NSAID 위장관 자극",
속쓰림,"아스피린,클로피도그렐","아스피린","NSAID 위장관 출혈 위험",
관절통,"레보플록사신,아목시실린","레보플록사신","퀴놀론 건염·관절통",
광과민,"독시사이클린,히드로클로로티아지드","독시사이클린,히드로클로로티아지드","테트라사이클린·이뇨제 광과민",
INR 상승,"와파린,메트로니다졸","메트로니다졸","와파린 대사 억제",
출혈 경향,"와파린,이부프로펜","와파린,이부프로펜","항응고제 + NSAID 출혈",
배뇨곤란,"디펜히드라민,아미트립틸린","디펜히드라민,아미트립틸린","항콜린 요폐",
빈뇨,"엠파글리플로진,히드로클로로티아지드","엠파글리플로진,히드로클로로티아지드","SGLT2 + 이뇨제",
심계항진,"살부타몰,슈도에페드린","살부타몰,슈도에페드린","베타2 작용제·교감신경자극",
불면,"플루옥세틴,메틸페니데이트","플루옥세틴,메틸페니데이트","SSRI·자극제 각성",
